datum;gremium;top;titel;hinweis;abstimmungshinweis
2026-04-16;Marktgemeinderat;3;"Baugebiete ""Auf der Halde"" (Wiedemannsdorf) und ""Am Anger"" (Steibis) (beschließend)";Baugebiete „Auf der Halde“ (Wiedemannsdorf) und „Am Anger“ (Steibis) Erbbaurechtsvertrag Der Marktgemeinderat hat in der Sitzung vom 17. Sep tember 2025 die wesentlichen Punkte zur Bauplatzvergabe besprochen und Festlegun gen bezüglich des Erbbaurechtvertrages getroffen.;
2026-04-16;Marktgemeinderat;3.2;Festlegung Grundstückswerte - Beschlussfassung (beschließend);Festlegung Grundstückswerte Bei den Bauplätzen „Am Anger“ in Steibis wurde im Jahr 2017 bereits ein Bauplatzpreis von 190,00 Euro pro m² festgehalten. Unter Berücksichtigung des Verbraucherpreisindex und einer Verzinsung von 3 v. H./pro Jahr ergibt sich ein m² Preis von 297,92 Euro (aufgerundet 300,00 Euro).;
2026-04-16;Marktgemeinderat;4.1;Spritzdeckenteerung von Straßen und Wanderwegen im Gemeindegebiet - Beschlussfassung (beschließend);Die Verwaltung sieht deshalb einen m²-Preis von 260,00 Euro/m² ohne Erschließung als realistisch an. Der Marktgemeinderat beschloss einstimmig die Bauplatzpreise wie folgt festzulegen: Am Anger, Steibis: 310,00 Euro pro m² plus ökologische Ausgleichsfläche 10,00 Euro pro m².;einstimmig
2026-04-16;Marktgemeinderat;4.2;Kläranlage, Klärschlammentsorgung - Beschlussfassung (beschließend);Kläranlage, Klärschlammentsorgung Im Jahr 2019 wurde für die Klärschlammentsorgung im Rahmen einer europaweiten Ausschreibung für die Einkaufsgemeinschaft Allgäu A ngebote eingeholt. Die Einkaufsgemeinschaft Allgäu setzte sich aus den grö ßeren Kläranlage im Allgäuer Raum zusammen. Die Firma Emter aus Altenstadt bei Schongau erhielt als günstigster Bieter den Zuschlag.;
2026-04-16;Marktgemeinderat;4.3;Wasserversorgung, Sanierung Leitungsnetz - Beschlussfassung (beschließend);Aufgrund der aktuell absehbaren Unwägbarkeiten (Evaluation MOBIL PASS ALLGÄU, Kosten Sanierung Kurhaus, Besteuerung Kurbeitrag) hinsichtlich des in die Kalkulation einzustellenden Deckungsbedarf erscheint es jedoch nicht möglich und auch nicht sinnvoll, eine verlässliche Kalkulation im Laufe de s Jahres 2026 zu erstellen.;
2026-04-16;Marktgemeinderat;5.1;Neuerlass der Ortsgestaltungssatzung, Beschlussfassung (beschließend);Ortsrecht Neuerlass der Ortsgestaltungssatzung Der Marktgemeinderat beschloss einstimmig die neue Ortsgestaltungssatzung in der abgedruckten geänderten und gekürzten Form. Die Aus fertigung der Satzung ist ebenfalls im Marktbauamt und auf der Internetseite www.oberstaufen.info  Rathaus & Bürgerservice  Ortsrecht  Baurecht zu finden. Erlass einer Verordnung über das Offenhalten von Ve rkaufsstellen (verkaufsoffener;einstimmig
2026-04-16;Marktgemeinderat;5.2;Erlass einer Verordnung über das Offenhalten von Verkaufsstellen (verkaufsoffener Sonntag) - Beschlussfassung (beschließend);66 GO die im Haushalt 2021 angefallenen überplanmäßigen A usgaben (Haushaltsüberschreitungen), soweit sie erheblich s ind und die Genehmigung nicht schon in früheren Beschlüssen des Marktgemeinderate s oder seiner beschließenden Ausschüsse erfolgt ist.;
2026-04-16;Marktgemeinderat;6.1;Örtliche Bedarfsplanung für das Jahr 2026/2027 - Beschlussfassung (beschließend);April 2026 Tourismus Eigenbetrieb Oberstaufen (TEO) Feststellung und Entlastung des kaufmännischen Jahr esabschlusses 2021/kamerale Jahresrechnung 2021 Der Marktgemeinderat (Art. 88 Abs. 4 Satz 1 GO) ste llte die kamerale Jahresrechnung 2021 (Art.;
2026-04-16;Marktgemeinderat;7;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);66 GO die im Haushalt 2021 angefallenen überplanmäßigen A usgaben (Haushaltsüberschreitungen), soweit sie erheblich s ind und die Genehmigung nicht schon in früheren Beschlüssen des Marktgemeinderate s oder seiner beschließenden Ausschüsse erfolgt ist. Der Marktgemeinderat (Art. 88 Abs. 4 Satz 1 GO) ste llte den vom Wirtschaftsprüfer geprüften kaufmännischen Jahresabschluss 2021 (Art.;
2026-03-05;Marktgemeinderat;2;Aquaria Erlebnisbad-Betriebs GmbH: Wirtschafts-, Finanz- und Stellenplan 2026 - Beschlussfassung (beschließend);03.2026 – Haushalt 2026 beschlossen Der Marktgemeinderat entschied in seiner Sitzung vo m 05.03.2026 zunächst über die Wirtschaftspläne der gemeindlichen GmbH’s und des Tourismus Eigenbetrieb Oberstaufen (TEO) sowie über den Haushaltsplan 2026 der Marktgemeinde selbst.;
